Domain,Action Name,Pair Type,Comparison Mode,Query Content,Answer Content,Cosine Sim Score
rpggame,pick-sword,Positive (Correct Match),NL Desc vs. Action Schema,"Context: Translate the given natural language description into an action schema that includes the parameters, preconditions, and effects. Ensure that only the provided predicates are used to construct the preconditions and effects.
Question: Here is the task.
A natural language description of the domain
Domain information: Help the hero to get out of dungeon! A hero woke up in a dungeon full of monsters and traps (perhaps the party last night went wrong...) and needs your help to get out.  Here are basic facts for the dungeon domain: - The dungeon contains rooms that are **connected** by corridors (dungeon can thus be represented by undirected graph) - each room can be **empty**, or can have a **monster** in it, or can have a **trap** in it, or can have a **sword** in it - one of the empty rooms is the **goal**: it has an exit, so the hero can escape

A list of available predicates
1. (at-hero ?loc - cells) ;;  Hero's cell location
2. (at-sword ?s - swords ?loc - cells) ;; Sword cell location
3. (has-monster ?loc - cells) ;; Indicates if a cell location has a monster
4. (has-trap ?loc - cells) ;; Indicates if a cell location has a trap
5. (is-destroyed ?obj) ;; Indicates if a chell or sword has been destroyed
6. (connected ?from ?to - cells) ;; connects cells
7. (arm-free) ;; Hero's hand is free
8. (holding ?s - swords) ;; Hero's holding a sword
9. (trap-disarmed ?loc) ;; It becomes true when a trap is disarmed

Action Description: **Pickup** the sword if present in the room the hero is currently in and the hero is empty handed

Action name: pick-sword


Your answer:
","Parameters:
1. ?loc - cells
2. ?s - swords

Preconditions:
```
(and
    (at-hero ?loc)
    (at-sword ?s ?loc)
    (arm-free)
)
```

Effects:
```
(and
    (holding ?s)
    (not (at-sword ?s ?loc))
    (not (arm-free))
)
```
",0.31237852573394775
rpggame,pick-sword,Easy Negative (Inter-Domain Mismatch),NL Desc vs. Action Schema,"Context: Translate the given natural language description into an action schema that includes the parameters, preconditions, and effects. Ensure that only the provided predicates are used to construct the preconditions and effects.
Question: Here is the task.
A natural language description of the domain
Domain information: Help the hero to get out of dungeon! A hero woke up in a dungeon full of monsters and traps (perhaps the party last night went wrong...) and needs your help to get out.  Here are basic facts for the dungeon domain: - The dungeon contains rooms that are **connected** by corridors (dungeon can thus be represented by undirected graph) - each room can be **empty**, or can have a **monster** in it, or can have a **trap** in it, or can have a **sword** in it - one of the empty rooms is the **goal**: it has an exit, so the hero can escape

A list of available predicates
1. (at-hero ?loc - cells) ;;  Hero's cell location
2. (at-sword ?s - swords ?loc - cells) ;; Sword cell location
3. (has-monster ?loc - cells) ;; Indicates if a cell location has a monster
4. (has-trap ?loc - cells) ;; Indicates if a cell location has a trap
5. (is-destroyed ?obj) ;; Indicates if a chell or sword has been destroyed
6. (connected ?from ?to - cells) ;; connects cells
7. (arm-free) ;; Hero's hand is free
8. (holding ?s - swords) ;; Hero's holding a sword
9. (trap-disarmed ?loc) ;; It becomes true when a trap is disarmed

Action Description: **Pickup** the sword if present in the room the hero is currently in and the hero is empty handed

Action name: pick-sword


Your answer:
","Parameters:
1. ?h - hand
2. ?s - shaker
3. ?b - cocktail
4. ?l - level
5. ?l1 - level

Preconditions:
```
(and
    (holding ?h ?s)
    (contains ?s ?b)
    (shaked ?s)
    (shaker-level ?s ?l)
    (shaker-empty-level ?s ?l1)
)
```

Effects:
```
(and
    (not (shaked ?s))
    (not (shaker-level ?s ?l))
    (shaker-level ?s ?l1)
    (not (contains ?s ?b))
    (empty ?s)
)
```
",0.08917409181594849
rpggame,pick-sword,Easy Negative (Inter-Domain Mismatch),NL Desc vs. Action Schema,"Context: Translate the given natural language description into an action schema that includes the parameters, preconditions, and effects. Ensure that only the provided predicates are used to construct the preconditions and effects.
Question: Here is the task.
A natural language description of the domain
Domain information: Help the hero to get out of dungeon! A hero woke up in a dungeon full of monsters and traps (perhaps the party last night went wrong...) and needs your help to get out.  Here are basic facts for the dungeon domain: - The dungeon contains rooms that are **connected** by corridors (dungeon can thus be represented by undirected graph) - each room can be **empty**, or can have a **monster** in it, or can have a **trap** in it, or can have a **sword** in it - one of the empty rooms is the **goal**: it has an exit, so the hero can escape

A list of available predicates
1. (at-hero ?loc - cells) ;;  Hero's cell location
2. (at-sword ?s - swords ?loc - cells) ;; Sword cell location
3. (has-monster ?loc - cells) ;; Indicates if a cell location has a monster
4. (has-trap ?loc - cells) ;; Indicates if a cell location has a trap
5. (is-destroyed ?obj) ;; Indicates if a chell or sword has been destroyed
6. (connected ?from ?to - cells) ;; connects cells
7. (arm-free) ;; Hero's hand is free
8. (holding ?s - swords) ;; Hero's holding a sword
9. (trap-disarmed ?loc) ;; It becomes true when a trap is disarmed

Action Description: **Pickup** the sword if present in the room the hero is currently in and the hero is empty handed

Action name: pick-sword


Your answer:
","Parameters:
1. ?h - hand
2. ?p - shot
3. ?b - beverage

Preconditions:
```
(and
    (holding ?h ?p)
    (contains ?p ?b)
)
```

Effects:
```
(and
    (not (contains ?p ?b))
    (empty ?p)
)
```
",-0.06398215889930725
rpggame,pick-sword,Easy Negative (Inter-Domain Mismatch),NL Desc vs. Action Schema,"Context: Translate the given natural language description into an action schema that includes the parameters, preconditions, and effects. Ensure that only the provided predicates are used to construct the preconditions and effects.
Question: Here is the task.
A natural language description of the domain
Domain information: Help the hero to get out of dungeon! A hero woke up in a dungeon full of monsters and traps (perhaps the party last night went wrong...) and needs your help to get out.  Here are basic facts for the dungeon domain: - The dungeon contains rooms that are **connected** by corridors (dungeon can thus be represented by undirected graph) - each room can be **empty**, or can have a **monster** in it, or can have a **trap** in it, or can have a **sword** in it - one of the empty rooms is the **goal**: it has an exit, so the hero can escape

A list of available predicates
1. (at-hero ?loc - cells) ;;  Hero's cell location
2. (at-sword ?s - swords ?loc - cells) ;; Sword cell location
3. (has-monster ?loc - cells) ;; Indicates if a cell location has a monster
4. (has-trap ?loc - cells) ;; Indicates if a cell location has a trap
5. (is-destroyed ?obj) ;; Indicates if a chell or sword has been destroyed
6. (connected ?from ?to - cells) ;; connects cells
7. (arm-free) ;; Hero's hand is free
8. (holding ?s - swords) ;; Hero's holding a sword
9. (trap-disarmed ?loc) ;; It becomes true when a trap is disarmed

Action Description: **Pickup** the sword if present in the room the hero is currently in and the hero is empty handed

Action name: pick-sword


Your answer:
","Parameters:
1. ?s - shot
2. ?i - ingredient
3. ?d - shaker
4. ?h1 - hand
5. ?l - level
6. ?l1 - level

Preconditions:
```
(and
    (holding ?h1 ?s)
    (contains ?s ?i)
    (empty ?d)
    (clean ?d)
    (shaker-level ?d ?l)
    (next ?l ?l1)
)
```

Effects:
```
(and
    (not (contains ?s ?i))
    (empty ?s)
    (contains ?d ?i)
    (not (empty ?d))
    (not (clean ?d))
    (unshaked ?d)
    (not (shaker-level ?d ?l))
    (shaker-level ?d ?l1)
)
```
",0.07661367207765579
rpggame,pick-sword,Easy Negative (Inter-Domain Mismatch),NL Desc vs. Action Schema,"Context: Translate the given natural language description into an action schema that includes the parameters, preconditions, and effects. Ensure that only the provided predicates are used to construct the preconditions and effects.
Question: Here is the task.
A natural language description of the domain
Domain information: Help the hero to get out of dungeon! A hero woke up in a dungeon full of monsters and traps (perhaps the party last night went wrong...) and needs your help to get out.  Here are basic facts for the dungeon domain: - The dungeon contains rooms that are **connected** by corridors (dungeon can thus be represented by undirected graph) - each room can be **empty**, or can have a **monster** in it, or can have a **trap** in it, or can have a **sword** in it - one of the empty rooms is the **goal**: it has an exit, so the hero can escape

A list of available predicates
1. (at-hero ?loc - cells) ;;  Hero's cell location
2. (at-sword ?s - swords ?loc - cells) ;; Sword cell location
3. (has-monster ?loc - cells) ;; Indicates if a cell location has a monster
4. (has-trap ?loc - cells) ;; Indicates if a cell location has a trap
5. (is-destroyed ?obj) ;; Indicates if a chell or sword has been destroyed
6. (connected ?from ?to - cells) ;; connects cells
7. (arm-free) ;; Hero's hand is free
8. (holding ?s - swords) ;; Hero's holding a sword
9. (trap-disarmed ?loc) ;; It becomes true when a trap is disarmed

Action Description: **Pickup** the sword if present in the room the hero is currently in and the hero is empty handed

Action name: pick-sword


Your answer:
","Parameters:
1. ?h1 - hand
2. ?h2 - hand
3. ?s - shaker

Preconditions:
```
(and
    (holding ?h1 ?s)
    (handempty ?h2)
    (empty ?s)
)
```

Effects:
```
(and
    (clean ?s)
)
```
",-0.10502125322818756
rpggame,pick-sword,Easy Negative (Inter-Domain Mismatch),NL Desc vs. Action Schema,"Context: Translate the given natural language description into an action schema that includes the parameters, preconditions, and effects. Ensure that only the provided predicates are used to construct the preconditions and effects.
Question: Here is the task.
A natural language description of the domain
Domain information: Help the hero to get out of dungeon! A hero woke up in a dungeon full of monsters and traps (perhaps the party last night went wrong...) and needs your help to get out.  Here are basic facts for the dungeon domain: - The dungeon contains rooms that are **connected** by corridors (dungeon can thus be represented by undirected graph) - each room can be **empty**, or can have a **monster** in it, or can have a **trap** in it, or can have a **sword** in it - one of the empty rooms is the **goal**: it has an exit, so the hero can escape

A list of available predicates
1. (at-hero ?loc - cells) ;;  Hero's cell location
2. (at-sword ?s - swords ?loc - cells) ;; Sword cell location
3. (has-monster ?loc - cells) ;; Indicates if a cell location has a monster
4. (has-trap ?loc - cells) ;; Indicates if a cell location has a trap
5. (is-destroyed ?obj) ;; Indicates if a chell or sword has been destroyed
6. (connected ?from ?to - cells) ;; connects cells
7. (arm-free) ;; Hero's hand is free
8. (holding ?s - swords) ;; Hero's holding a sword
9. (trap-disarmed ?loc) ;; It becomes true when a trap is disarmed

Action Description: **Pickup** the sword if present in the room the hero is currently in and the hero is empty handed

Action name: pick-sword


Your answer:
","Parameters:
1. ?b - cocktail
2. ?d1 - ingredient
3. ?d2 - ingredient
4. ?s - shaker
5. ?h1 - hand
6. ?h2 - hand

Preconditions:
```
(and
    (holding ?h1 ?s)
    (handempty ?h2)
    (contains ?s ?d1)
    (contains ?s ?d2)
    (cocktail-part1 ?b ?d1)
    (cocktail-part2 ?b ?d2)
    (unshaked ?s)
)
```

Effects:
```
(and
    (not (unshaked ?s))
    (not (contains ?s ?d1))
    (not (contains ?s ?d2))
    (shaked ?s)
    (contains ?s ?b)
)
```
",0.026778344064950943
rpggame,pick-sword,Easy Negative (Inter-Domain Mismatch),NL Desc vs. Action Schema,"Context: Translate the given natural language description into an action schema that includes the parameters, preconditions, and effects. Ensure that only the provided predicates are used to construct the preconditions and effects.
Question: Here is the task.
A natural language description of the domain
Domain information: Help the hero to get out of dungeon! A hero woke up in a dungeon full of monsters and traps (perhaps the party last night went wrong...) and needs your help to get out.  Here are basic facts for the dungeon domain: - The dungeon contains rooms that are **connected** by corridors (dungeon can thus be represented by undirected graph) - each room can be **empty**, or can have a **monster** in it, or can have a **trap** in it, or can have a **sword** in it - one of the empty rooms is the **goal**: it has an exit, so the hero can escape

A list of available predicates
1. (at-hero ?loc - cells) ;;  Hero's cell location
2. (at-sword ?s - swords ?loc - cells) ;; Sword cell location
3. (has-monster ?loc - cells) ;; Indicates if a cell location has a monster
4. (has-trap ?loc - cells) ;; Indicates if a cell location has a trap
5. (is-destroyed ?obj) ;; Indicates if a chell or sword has been destroyed
6. (connected ?from ?to - cells) ;; connects cells
7. (arm-free) ;; Hero's hand is free
8. (holding ?s - swords) ;; Hero's holding a sword
9. (trap-disarmed ?loc) ;; It becomes true when a trap is disarmed

Action Description: **Pickup** the sword if present in the room the hero is currently in and the hero is empty handed

Action name: pick-sword


Your answer:
","Parameters:
1. ?b - beverage
2. ?d - shot
3. ?h - hand
4. ?s - shaker
5. ?l - level
6. ?l1 - level

Preconditions:
```
(and
    (holding ?h ?s)
    (shaked ?s)
    (empty ?d)
    (clean ?d)
    (contains ?s ?b)
    (shaker-level ?s ?l)
    (next ?l1 ?l)
)
```

Effects:
```
(and
    (not (clean ?d))
    (not (empty ?d))
    (contains ?d ?b)
    (shaker-level ?s ?l1)
    (not (shaker-level ?s ?l))
)
```
",0.06734801828861237
rpggame,pick-sword,Easy Negative (Inter-Domain Mismatch),NL Desc vs. Action Schema,"Context: Translate the given natural language description into an action schema that includes the parameters, preconditions, and effects. Ensure that only the provided predicates are used to construct the preconditions and effects.
Question: Here is the task.
A natural language description of the domain
Domain information: Help the hero to get out of dungeon! A hero woke up in a dungeon full of monsters and traps (perhaps the party last night went wrong...) and needs your help to get out.  Here are basic facts for the dungeon domain: - The dungeon contains rooms that are **connected** by corridors (dungeon can thus be represented by undirected graph) - each room can be **empty**, or can have a **monster** in it, or can have a **trap** in it, or can have a **sword** in it - one of the empty rooms is the **goal**: it has an exit, so the hero can escape

A list of available predicates
1. (at-hero ?loc - cells) ;;  Hero's cell location
2. (at-sword ?s - swords ?loc - cells) ;; Sword cell location
3. (has-monster ?loc - cells) ;; Indicates if a cell location has a monster
4. (has-trap ?loc - cells) ;; Indicates if a cell location has a trap
5. (is-destroyed ?obj) ;; Indicates if a chell or sword has been destroyed
6. (connected ?from ?to - cells) ;; connects cells
7. (arm-free) ;; Hero's hand is free
8. (holding ?s - swords) ;; Hero's holding a sword
9. (trap-disarmed ?loc) ;; It becomes true when a trap is disarmed

Action Description: **Pickup** the sword if present in the room the hero is currently in and the hero is empty handed

Action name: pick-sword


Your answer:
","Parameters:
1. ?s - shot
2. ?i - ingredient
3. ?h1 - hand
4. ?h2 - hand
5. ?d - dispenser

Preconditions:
```
(and
    (holding ?h1 ?s)
    (handempty ?h2)
    (dispenses ?d ?i)
    (empty ?s)
    (used ?s ?i)
)
```

Effects:
```
(and
    (not (empty ?s))
    (contains ?s ?i)
)
```
",-0.04720272868871689
rpggame,pick-sword,Easy Negative (Inter-Domain Mismatch),NL Desc vs. Action Schema,"Context: Translate the given natural language description into an action schema that includes the parameters, preconditions, and effects. Ensure that only the provided predicates are used to construct the preconditions and effects.
Question: Here is the task.
A natural language description of the domain
Domain information: Help the hero to get out of dungeon! A hero woke up in a dungeon full of monsters and traps (perhaps the party last night went wrong...) and needs your help to get out.  Here are basic facts for the dungeon domain: - The dungeon contains rooms that are **connected** by corridors (dungeon can thus be represented by undirected graph) - each room can be **empty**, or can have a **monster** in it, or can have a **trap** in it, or can have a **sword** in it - one of the empty rooms is the **goal**: it has an exit, so the hero can escape

A list of available predicates
1. (at-hero ?loc - cells) ;;  Hero's cell location
2. (at-sword ?s - swords ?loc - cells) ;; Sword cell location
3. (has-monster ?loc - cells) ;; Indicates if a cell location has a monster
4. (has-trap ?loc - cells) ;; Indicates if a cell location has a trap
5. (is-destroyed ?obj) ;; Indicates if a chell or sword has been destroyed
6. (connected ?from ?to - cells) ;; connects cells
7. (arm-free) ;; Hero's hand is free
8. (holding ?s - swords) ;; Hero's holding a sword
9. (trap-disarmed ?loc) ;; It becomes true when a trap is disarmed

Action Description: **Pickup** the sword if present in the room the hero is currently in and the hero is empty handed

Action name: pick-sword


Your answer:
","Parameters:
1. ?s - shot
2. ?b - beverage
3. ?h1 - hand
4. ?h2 - hand

Preconditions:
```
(and
    (holding ?h1 ?s)
    (handempty ?h2)
    (empty ?s)
    (used ?s ?b)
)
```

Effects:
```
(and
    (not (used ?s ?b))
    (clean ?s)
)
```
",-0.074020616710186
rpggame,pick-sword,Easy Negative (Inter-Domain Mismatch),NL Desc vs. Action Schema,"Context: Translate the given natural language description into an action schema that includes the parameters, preconditions, and effects. Ensure that only the provided predicates are used to construct the preconditions and effects.
Question: Here is the task.
A natural language description of the domain
Domain information: Help the hero to get out of dungeon! A hero woke up in a dungeon full of monsters and traps (perhaps the party last night went wrong...) and needs your help to get out.  Here are basic facts for the dungeon domain: - The dungeon contains rooms that are **connected** by corridors (dungeon can thus be represented by undirected graph) - each room can be **empty**, or can have a **monster** in it, or can have a **trap** in it, or can have a **sword** in it - one of the empty rooms is the **goal**: it has an exit, so the hero can escape

A list of available predicates
1. (at-hero ?loc - cells) ;;  Hero's cell location
2. (at-sword ?s - swords ?loc - cells) ;; Sword cell location
3. (has-monster ?loc - cells) ;; Indicates if a cell location has a monster
4. (has-trap ?loc - cells) ;; Indicates if a cell location has a trap
5. (is-destroyed ?obj) ;; Indicates if a chell or sword has been destroyed
6. (connected ?from ?to - cells) ;; connects cells
7. (arm-free) ;; Hero's hand is free
8. (holding ?s - swords) ;; Hero's holding a sword
9. (trap-disarmed ?loc) ;; It becomes true when a trap is disarmed

Action Description: **Pickup** the sword if present in the room the hero is currently in and the hero is empty handed

Action name: pick-sword


Your answer:
","Parameters:
1. ?h - hand
2. ?c - container

Preconditions:
```
(and
    (ontable ?c)
    (handempty ?h)
)
```

Effects:
```
(and
    (not (ontable ?c))
    (not (handempty ?h))
    (holding ?h ?c)
)
```
",0.005591311026364565
rpggame,pick-sword,Easy Negative (Inter-Domain Mismatch),NL Desc vs. Action Schema,"Context: Translate the given natural language description into an action schema that includes the parameters, preconditions, and effects. Ensure that only the provided predicates are used to construct the preconditions and effects.
Question: Here is the task.
A natural language description of the domain
Domain information: Help the hero to get out of dungeon! A hero woke up in a dungeon full of monsters and traps (perhaps the party last night went wrong...) and needs your help to get out.  Here are basic facts for the dungeon domain: - The dungeon contains rooms that are **connected** by corridors (dungeon can thus be represented by undirected graph) - each room can be **empty**, or can have a **monster** in it, or can have a **trap** in it, or can have a **sword** in it - one of the empty rooms is the **goal**: it has an exit, so the hero can escape

A list of available predicates
1. (at-hero ?loc - cells) ;;  Hero's cell location
2. (at-sword ?s - swords ?loc - cells) ;; Sword cell location
3. (has-monster ?loc - cells) ;; Indicates if a cell location has a monster
4. (has-trap ?loc - cells) ;; Indicates if a cell location has a trap
5. (is-destroyed ?obj) ;; Indicates if a chell or sword has been destroyed
6. (connected ?from ?to - cells) ;; connects cells
7. (arm-free) ;; Hero's hand is free
8. (holding ?s - swords) ;; Hero's holding a sword
9. (trap-disarmed ?loc) ;; It becomes true when a trap is disarmed

Action Description: **Pickup** the sword if present in the room the hero is currently in and the hero is empty handed

Action name: pick-sword


Your answer:
","Parameters:
1. ?s - shot
2. ?i - ingredient
3. ?h1 - hand
4. ?h2 - hand
5. ?d - dispenser

Preconditions:
```
(and
    (holding ?h1 ?s)
    (handempty ?h2)
    (dispenses ?d ?i)
    (empty ?s)
    (clean ?s)
)
```

Effects:
```
(and
    (not (empty ?s))
    (contains ?s ?i)
    (not (clean ?s))
    (used ?s ?i)
)
```
",0.04328693449497223
